Index,tickerCode
1,ADIN
2,ALK
3,ALKB
4,AMEH
5,APTK
6,ATPP
7,AUMK
8,BANA
9,BGOR
10,BIKF
11,BIM
12,BLTU
13,CBNG
14,CDHV
15,CEVI
16,CKB
17,CKBKO
18,DEBA
19,DIMI
20,EDST
21,ELMA
22,ELNC
23,ENER
24,ENSA
25,EUHA
26,EUMK
27,EVRO
28,FAKM
29,FERS
30,FKTL
31,FROT
32,FUBT
33,GALE
34,GDKM
35,GECK
36,GECT
37,GIMS
38,GRDN
39,GRNT
40,GRSN
41,GRZD
42,GTC
43,GTRG
44,IJUG
45,INB
46,INHO
47,INOV
48,INPR
49,INTP
50,JAKO
51,JUSK
52,KARO
53,KDFO
54,KJUBI
55,KKST
56,KLST
57,KMB
58,KMPR
59,KOMU
60,KONF
61,KONZ
62,KORZ
63,KPSS
64,KULT
65,KVAS
66,LAJO
67,LHND
68,LOTO
69,LOZP
70,MAGP
71,MAKP
72,MAKS
73,MB
74,MERM
75,MKSD
76,MLKR
77,MODA
78,MPOL
79,MPT
80,MPTE
81,MTUR
82,MZHE
83,MZPU
84,NEME
85,NOSK
86,OBPP
87,OILK
88,OKTA
89,OMOS
90,OPFO
91,OPTK
92,ORAN
93,OSPO
94,OTEK
95,PELK
96,PGGV
97,PKB
98,POPK
99,PPIV
100,PROD
101,PROT
102,PTRS
103,RADE
104,REPL
105,RIMI
106,RINS
107,RZEK
108,RZIT
109,RZIZ
110,RZLE
111,RZLV
112,RZTK
113,RZUG
114,RZUS
115,SBT
116,SDOM
117,SIL
118,SKON
119,SKP
120,SLAV
121,SNBT
122,SNBTO
123,SOLN
124,SPAZ
125,SPAZP
126,SPOL
127,SSPR
128,STB
129,STBP
130,STIL
131,STOK
132,TAJM
133,TBKO
134,TEAL
135,TEHN
136,TEL
137,TETE
138,TIKV
139,TKPR
140,TKVS
141,TNB
142,TRDB
143,TRPS
144,TRUB
145,TSMP
146,TSZS
147,TTK
148,TTKO
149,UNI
150,USJE
151,VARG
152,VFPM
153,VITA
154,VROS
155,VSC
156,VTKS
157,ZAS
158,ZILU
159,ZILUP
160,ZIMS
161,ZKAR
162,ZPKO
163,ZPOG
164,ZUAS
